CD_ESTACAO;DT_MEDICAO;HR_MEDICAO;CHUVA
A803;2020-11-23;1300;
A803;2020-11-23;1500;
A803;2020-11-23;1900;
A803;2020-11-23;2200;
A803;2020-11-23;2300;
A803;2020-11-22;100;
A803;2020-11-22;200;
A803;2020-11-22;300;
A803;2020-11-22;400;
A803;2020-11-22;600;
A803;2020-11-22;900;
A803;2020-11-22;1000;
A803;2020-11-22;1500;
A803;2020-11-22;1700;
A803;2020-11-22;1800;
A803;2020-11-22;2300;
A803;2020-11-21;100;
A803;2020-11-21;300;
A803;2020-11-21;400;
A803;2020-11-21;600;
A803;2020-11-21;700;
A803;2020-11-21;800;
A803;2020-11-21;900;
A803;2020-11-21;1100;
A803;2020-11-21;1300;
A803;2020-11-21;1400;
A803;2020-11-21;1500;
A803;2020-11-21;1600;
A803;2020-11-21;1800;
A803;2020-11-21;1900;
A803;2020-11-21;2200;
A803;2020-11-21;2300;
A803;2020-11-20;0;
A803;2020-11-20;100;
A803;2020-11-20;200;
A803;2020-11-20;300;
A803;2020-11-20;400;
A803;2020-11-20;500;
A803;2020-11-20;600;
A803;2020-11-20;700;
A803;2020-11-20;1100;
A803;2020-11-20;1200;
A803;2020-11-20;1300;
A803;2020-11-20;1500;
A803;2020-11-20;1600;
A803;2020-11-20;1700;
A803;2020-11-20;1800;
A803;2020-11-19;100;
A803;2020-11-19;200;
A803;2020-11-19;300;
A803;2020-11-19;500;
A803;2020-11-19;600;
A803;2020-11-19;700;
A803;2020-11-19;800;
A803;2020-11-19;900;
A803;2020-11-19;1000;
A803;2020-11-19;1200;
A803;2020-11-19;1600;
A803;2020-11-19;1700;
A803;2020-11-19;1800;
A803;2020-11-19;1900;
A803;2020-11-19;2000;
A803;2020-11-19;2100;
A803;2020-11-19;2200;
A803;2020-11-18;0;
A803;2020-11-18;200;
A803;2020-11-18;400;
A803;2020-11-18;500;
A803;2020-11-18;700;
A803;2020-11-18;800;
A803;2020-11-18;900;
A803;2020-11-18;1200;
A803;2020-11-18;1300;
A803;2020-11-18;1500;
A803;2020-11-18;1800;
A803;2020-11-18;2000;
A803;2020-11-18;2100;
A803;2020-11-18;2200;
A803;2020-11-17;0;
A803;2020-11-17;100;
A803;2020-11-17;300;
A803;2020-11-17;400;
A803;2020-11-17;700;
A803;2020-11-17;800;
A803;2020-11-17;1300;
A803;2020-11-17;1500;
A803;2020-11-17;1600;
A803;2020-11-17;1800;
A803;2020-11-17;1900;
A803;2020-11-17;2000;
A803;2020-11-17;2200;
A803;2020-11-16;0;
A803;2020-11-16;100;
A803;2020-11-16;200;
A803;2020-11-16;300;
A803;2020-11-16;500;
A803;2020-11-16;900;
A803;2020-11-16;1000;
A803;2020-11-16;1100;
A803;2020-11-16;1200;
A803;2020-11-16;1300;
A803;2020-11-16;1500;
A803;2020-11-16;1700;
A803;2020-11-16;1800;
A803;2020-11-16;1900;
A803;2020-11-16;2100;
A803;2020-11-16;2200;
A803;2020-11-16;2300;
A803;2020-11-15;200;
A803;2020-11-15;300;
A803;2020-11-15;400;
A803;2020-11-15;500;
A803;2020-11-15;900;
A803;2020-11-15;1200;
A803;2020-11-15;1300;
A803;2020-11-15;1500;
A803;2020-11-15;1600;
A803;2020-11-15;1700;
A803;2020-11-15;1800;
A803;2020-11-15;1900;
A803;2020-11-15;2000;
A803;2020-11-15;2300;
A803;2020-11-14;100;
A803;2020-11-14;200;
A803;2020-11-14;300;
A803;2020-11-14;400;
A803;2020-11-14;500;
A803;2020-11-14;700;
A803;2020-11-14;800;
A803;2020-11-14;900;
A803;2020-11-14;1100;
A803;2020-11-14;1500;
A803;2020-11-14;1600;
A803;2020-11-14;1700;
